DG	reads#	left_arm	right_arm	left_loc	right_loc	min_L_pos	min_R_pos	min_distance	5ssnt_L_pos	5ssnt_R_pos	5ssnt_distance
18S,18S,26	20	5023-5044	5108-5142	core	core	5039	5137	4.391295909881592	5039	5137	4.391295909881592
18S,18S,27	16	4919-4940	5148-5165	expansion	core	4928	5165	6.5467658042907715	4936	5160	18.96999168395996
18S,18S,28	13	4947-4981	5058-5077	expansion	core	4980	5058	50.86246871948242	4977	5072	86.88188171386719
18S,18S,29	10	4972-5012	5017-5038	core	core	4998	5024	3.2634177207946777	5008	5032	14.563417434692383
18S,18S,30	10	5050-5073	5077-5094	expansion	core	5066	5088	9.394511222839355	5070	5088	17.638479232788086
18S,18S,39	48	3761-3793	3949-3965	expansion	core	3779	3965	4.9490461349487305	NA	NA	NA
18S,18S,40	21	3759-3800	3972-3986	expansion	core	3796	3982	10.803832054138184	3796	3982	10.803832054138184
18S,18S,41	12	3889-3904	3920-3944	expansion	expansion	3898	3934	6.814174175262451	3898	3938	30.597551345825195
18S,18S,47	84	3760-3794	3822-3836	expansion	core	3780	3834	5.148617744445801	NA	NA	NA
18S,18S,51	27	5382-5409	5414-5432	expansion	expansion	5402	5429	20.13639259338379	NA	NA	NA
18S,18S,52	23	5353-5377	5449-5482	core	core	5372	5468	7.830150127410889	5372	5477	29.666860580444336
18S,18S,56	56	4507-4530	4550-4571	expansion	expansion	4523	4569	3.407217502593994	4524	4569	7.061535835266113
18S,18S,59	31	4147-4177	4208-4221	expansion	expansion	4177	4216	6.905326843261719	4174	4216	20.428638458251953
18S,18S,92	11	4714-4747	5459-5482	core	core	4715	5481	20.805448532104492	4741	5477	34.9080924987793
18S,18S,94	14	4837-4860	5315-5353	core	core	4850	5349	13.730826377868652	4854	5349	19.753692626953125
18S,18S,101	16	4734-4771	5314-5333	expansion	core	4753	5333	54.98728942871094	4767	5331	74.89607238769531
28S,28S,0	363	12345-12379	12434-12456	core	core	12361	12443	6.379593849182129	12376	12454	7.175588607788086
28S,28S,1	30	12314-12335	12455-12486	core	core	12321	12472	12.108551025390625	12330	12480	38.85255432128906
28S,28S,2	27	12312-12342	12433-12458	core	core	12323	12442	4.818309307098389	12338	12453	53.14805221557617
28S,28S,3	25	12345-12369	12408-12430	core	core	12362	12426	8.643013000488281	12365	12426	26.27618980407715
28S,28S,4	23	12466-12501	12550-12576	core	core	12483	12558	35.16392517089844	12495	12574	71.1786880493164
28S,28S,5	18	12472-12501	12631-12656	core	expansion	12497	12644	7.139721870422363	12498	12653	22.065309524536133
28S,28S,6	16	12426-12449	12455-12497	core	core	12446	12480	6.128378868103027	12447	12494	32.572242736816406
28S,28S,23	40	11535-11576	11609-11626	core	core	11576	11615	9.054561614990234	11572	11621	25.97495460510254
28S,28S,24	39	11603-11630	11654-11675	core	core	11621	11670	9.136865615844727	11625	11670	12.334158897399902
28S,28S,25	32	11523-11539	11743-11766	core	core	11539	11760	26.46885871887207	11535	11760	38.787025451660156
28S,28S,26	29	11548-11564	11741-11756	core	core	11559	11747	9.459000587463379	11561	11752	16.92778205871582
28S,28S,27	27	11674-11705	11736-11755	core	core	11701	11739	9.84743881225586	11703	11749	29.47847557067871
28S,28S,28	19	11571-11592	11596-11621	core	core	11576	11615	9.054561614990234	11588	11615	34.116397857666016
28S,28S,29	17	11656-11676	11710-11743	core	core	11671	11741	5.7620015144348145	11671	11741	5.7620015144348145
28S,28S,30	14	11548-11573	11656-11682	core	core	11559	11671	24.181732177734375	NA	NA	NA
28S,28S,31	11	11610-11640	11696-11749	core	core	11626	11697	6.387120723724365	11635	11746	55.82571029663086
28S,28S,43	141	9623-9646	9713-9731	expansion	expansion	9644	9728	9.67566204071045	9644	9728	9.67566204071045
28S,28S,44	80	9623-9646	9744-9763	expansion	expansion	9643	9758	5.51344633102417	9643	9758	5.51344633102417
28S,28S,45	32	9565-9598	9798-9817	core	core	9591	9805	10.882092475891113	9594	9815	18.748146057128906
28S,28S,55	115	11791-11817	12480-12498	core	core	11813	12495	6.437256813049316	11813	12495	6.437256813049316
28S,28S,56	66	11818-11835	12456-12485	core	core	11832	12456	7.103996753692627	11832	12479	15.690677642822266
28S,28S,57	13	11760-11787	12481-12503	core	core	11786	12484	11.413567543029785	11783	12497	42.75205612182617
28S,28S,58	11	11818-11836	12415-12455	core	core	11821	12447	7.198777675628662	11833	12453	16.51167869567871
28S,28S,64	62	12137-12160	12198-12219	core	core	12156	12214	9.964859962463379	12156	12214	9.964859962463379
28S,28S,65	29	12102-12119	12260-12305	core	core	12113	12304	2.9740424156188965	12113	12303	7.815947532653809
28S,28S,66	16	12102-12123	12239-12267	core	core	12113	12265	22.75217628479004	12118	12261	30.109962463378906
28S,28S,71	49	11877-11901	11952-11983	expansion	expansion	11884	11968	3.15366530418396	11895	11980	26.714092254638672
28S,28S,72	20	11880-11906	11932-11956	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,77	47	12896-12931	12946-12973	expansion	core	12930	12964	4.312780857086182	12926	12970	8.109789848327637
28S,28S,78	20	12890-12916	12976-12989	expansion	core	12912	12985	6.521027088165283	12912	12985	6.521027088165283
28S,28S,79	14	12858-12892	12900-12917	core	expansion	12889	12912	18.86090660095215	12889	12912	18.86090660095215
28S,28S,80	10	12865-12916	12918-12939	expansion	expansion	12898	12925	21.774120330810547	12914	12937	65.79349517822266
28S,28S,82	30	10490-10518	10654-10685	expansion	expansion	10515	10679	8.398358345031738	10515	10679	8.398358345031738
28S,28S,83	11	10504-10547	10617-10644	core	expansion	10544	10625	9.85287857055664	10544	10639	12.479439735412598
28S,28S,98	83	8037-8092	8188-8204	expansion	core	8038	8200	4.685105323791504	NA	NA	NA
28S,28S,99	10	8037-8092	8117-8153	expansion	core	8058	8148	45.63744354248047	NA	NA	NA
28S,28S,104	52	12643-12662	12872-12894	expansion	core	12654	12889	4.807358264923096	12658	12889	13.070089340209961
28S,28S,110	31	8268-8294	8325-8340	core	core	8276	8340	15.128591537475586	8290	8336	21.03386116027832
28S,28S,111	14	8258-8281	8290-8325	core	core	8277	8302	8.879538536071777	8277	8321	30.00432777404785
28S,28S,115	25	12654-12680	12790-12810	expansion	expansion	12679	12799	7.650533199310303	12677	12804	8.804579734802246
28S,28S,116	14	12675-12708	12752-12790	expansion	expansion	12694	12788	12.091950416564941	NA	NA	NA
28S,28S,122	26	10361-10381	10403-10428	expansion	expansion	10379	10428	15.2948637008667	10379	10426	22.22563362121582
28S,28S,130	58	8887-8918	8964-8988	expansion	expansion	8915	8976	10.81269645690918	NA	NA	NA
28S,28S,132	23	9623-9645	9993-10024	expansion	expansion	9623	10019	7.723788261413574	9642	10018	26.118452072143555
28S,28S,133	21	9611-9646	10037-10055	expansion	expansion	9624	10042	6.910817623138428	9642	10049	46.144081115722656
28S,28S,137	37	9840-9860	9950-9972	core	core	9858	9972	5.524883270263672	9855	9966	18.468273162841797
28S,28S,142	46	11994-12044	12075-12092	expansion	core	11999	12087	9.64862060546875	12039	12086	26.61969566345215
28S,28S,146	25	8360-8380	9203-9233	core	core	8374	9221	10.598129272460938	8374	9227	30.112285614013672
28S,28S,147	15	8330-8356	9234-9252	core	core	8356	9236	15.68942928314209	NA	NA	NA
28S,28S,149	37	10271-10301	10730-10749	core	core	10294	10749	4.11202335357666	NA	NA	NA
28S,28S,152	24	11818-11843	12300-12313	core	core	11832	12310	9.639424324035645	11838	12310	25.387006759643555
28S,28S,153	12	11818-11835	12338-12377	core	core	11831	12371	4.803703308105469	11831	12371	4.803703308105469
28S,28S,157	13	7940-7967	8283-8321	core	core	7946	8288	18.42898941040039	7963	8318	81.98430633544922
28S,28S,158	11	7948-7995	8243-8265	core	core	7949	8263	3.23319411277771	7989	8260	24.90662956237793
28S,28S,161	28	9523-9566	10275-10290	core	core	9523	10287	20.036548614501953	9562	10287	27.111417770385742
28S,28S,162	10	9546-9584	10263-10276	core	core	9584	10270	7.6960930824279785	9580	10273	9.472757339477539
28S,28S,167	20	9428-9459	9546-9579	core	core	9441	9574	3.237809896469116	9456	9573	25.441368103027344
28S,28S,168	10	9440-9495	9523-9564	core	core	9470	9534	4.315882205963135	9489	9558	65.43844604492188
28S,28S,184	21	9311-9337	9371-9403	expansion	expansion	9314	9395	9.435859680175781	9333	9399	11.559070587158203
28S,28S,190	24	10737-10755	11767-11788	core	core	10752	11783	14.772175788879395	10752	11783	14.772175788879395
28S,28S,191	11	10759-10779	11751-11768	core	core	10772	11762	9.782479286193848	10775	11763	12.283005714416504
28S,28S,194	38	10842-10884	11157-11202	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,199	13	10781-10821	11502-11525	expansion	expansion	10814	11521	39.526885986328125	NA	NA	NA
28S,28S,200	12	10762-10783	11523-11540	core	core	10783	11540	21.452251434326172	10781	11535	52.054420471191406
28S,28S,204	31	9231-9252	10270-10290	core	core	9242	10272	14.813432693481445	9247	10284	29.135061264038086
28S,28S,206	19	8412-8455	8541-8563	expansion	expansion	8438	8563	8.429017066955566	NA	NA	NA
28S,28S,208	31	8856-8892	9994-10020	expansion	expansion	8884	10013	15.780123710632324	8888	10014	18.831499099731445
28S,28S,210	39	9388-9412	12261-12277	expansion	core	9409	12273	6.800237655639648	9409	12273	6.800237655639648
28S,28S,211	15	8666-8687	8692-8718	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,214	32	8858-8891	10161-10183	expansion	expansion	8889	10176	7.83812141418457	8887	10179	10.29371452331543
28S,28S,215	14	7997-8036	8064-8091	core	expansion	7999	8083	13.251440048217773	NA	NA	NA
28S,28S,220	18	8616-8656	8856-8892	expansion	expansion	8647	8869	6.603329181671143	8653	8886	76.7293472290039
28S,28S,224	32	7997-8020	8194-8221	core	core	8011	8216	8.900288581848145	8014	8216	11.532203674316406
28S,28S,225	10	9623-9646	12434-12455	expansion	core	9645	12442	76.51773834228516	9644	12453	93.716064453125
28S,28S,231	21	12197-12219	12242-12265	core	core	12215	12253	8.836206436157227	12216	12260	17.816911697387695
28S,28S,233	15	12791-12810	12858-12874	expansion	core	12810	12859	8.360042572021484	12805	12872	14.262406349182129
28S,28S,236	15	10012-10032	10049-10088	expansion	expansion	10031	10049	8.907819747924805	NA	NA	NA
28S,28S,238	10	10729-10749	12456-12506	core	core	10739	12477	31.57676124572754	NA	NA	NA
28S,28S,246	20	8366-8400	8603-8636	expansion	expansion	8392	8610	4.682743549346924	NA	NA	NA
28S,28S,247	20	7940-7971	8195-8221	core	core	7971	8214	9.489900588989258	7967	8216	15.009078979492188
28S,28S,248	22	8331-8360	10275-10290	core	core	8344	10284	15.209451675415039	8357	10284	19.53898048400879
28S,28S,249	25	9623-9645	11996-12038	expansion	expansion	9645	12001	111.05091094970703	NA	NA	NA
28S,28S,258	14	9993-10021	10167-10183	expansion	expansion	10015	10181	3.1588926315307617	10015	10181	3.1588926315307617
28S,28S,260	14	12312-12340	12348-12376	core	core	12319	12367	5.703603744506836	12337	12374	54.60762023925781
28S,28S,261	10	8687-8725	8764-8781	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,263	15	10271-10296	11760-11788	core	core	10290	11775	6.659038066864014	10290	11783	19.31832504272461
28S,28S,264	18	10383-10396	11997-12012	expansion	expansion	10392	12008	12.061994552612305	10392	12008	12.061994552612305
28S,28S,266	19	11093-11123	12658-12699	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,267	14	8841-8891	9603-9632	expansion	expansion	8882	9621	25.95635223388672	NA	NA	NA
28S,28S,272	18	11821-11849	12101-12119	core	core	11845	12107	9.041169166564941	11846	12114	11.313178062438965
28S,28S,276	17	9634-9645	12101-12119	expansion	core	9645	12118	59.26915740966797	9643	12113	77.18762969970703
28S,28S,277	14	10062-10075	10079-10108	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,288	12	7939-7970	7996-8021	core	core	7962	8018	4.304173946380615	7967	8016	14.415510177612305
28S,28S,293	10	9146-9195	9604-9637	expansion	expansion	9190	9624	24.99081039428711	NA	NA	NA
28S,28S,294	13	8963-8990	9603-9646	expansion	expansion	8976	9624	64.93592071533203	NA	NA	NA
28S,28S,295	13	8970-8993	11193-11235	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,303	10	9233-9256	9544-9579	core	core	9242	9578	14.6857271194458	NA	NA	NA
