DG	reads#	left_arm	right_arm	left_loc	right_loc	min_L_pos	min_R_pos	min_distance	5ssnt_L_pos	5ssnt_R_pos	5ssnt_distance
28S,28S,80	10	4942-4993	4995-5016	expansion	expansion	4975	5002	21.774120330810547	4991	5014	65.79349517822266
28S,28S,99	10	114-169	194-230	expansion	core	135	225	45.63744354248047	NA	NA	NA
28S,28S,110	31	345-371	402-417	core	core	353	417	15.128591537475586	367	413	21.03386116027832
28S,28S,111	14	335-358	367-402	core	core	354	379	8.879538536071777	354	398	30.00432777404785
28S,28S,115	25	4731-4757	4867-4887	expansion	expansion	4756	4876	7.650533199310303	4754	4881	8.804579734802246
28S,28S,122	26	2438-2458	2480-2505	expansion	expansion	2456	2505	15.2948637008667	2456	2503	22.22563362121582
28S,28S,132	23	1700-1722	2070-2101	expansion	expansion	1700	2096	7.723788261413574	1719	2095	26.118452072143555
28S,28S,133	21	1688-1723	2114-2132	expansion	expansion	1701	2119	6.910817623138428	1719	2126	46.144081115722656
28S,28S,137	37	1917-1937	2027-2049	core	core	1935	2049	5.524883270263672	1932	2043	18.468273162841797
28S,28S,147	15	407-433	1311-1329	core	core	433	1313	15.68942928314209	NA	NA	NA
28S,28S,149	37	2348-2378	2807-2826	core	core	2371	2826	4.11202335357666	NA	NA	NA
28S,28S,153	12	3895-3912	4415-4454	core	core	3908	4448	4.803703308105469	3908	4448	4.803703308105469
28S,28S,157	13	17-44	360-398	core	core	23	365	18.42898941040039	40	395	81.98430633544922
28S,28S,158	11	25-72	320-342	core	core	26	340	3.23319411277771	66	337	24.90662956237793
28S,28S,161	28	1600-1643	2352-2367	core	core	1600	2364	20.036548614501953	1639	2364	27.111417770385742
28S,28S,162	10	1623-1661	2340-2353	core	core	1661	2347	7.6960930824279785	1657	2350	9.472757339477539
28S,28S,184	21	1388-1414	1448-1480	expansion	expansion	1391	1472	9.435859680175781	1410	1476	11.559070587158203
28S,28S,200	12	2839-2860	3600-3617	core	core	2860	3617	21.452251434326172	2858	3612	52.054420471191406
28S,28S,204	31	1308-1329	2347-2367	core	core	1319	2349	14.813432693481445	1324	2361	29.135061264038086
28S,28S,208	31	933-969	2071-2097	expansion	expansion	961	2090	15.780123710632324	965	2091	18.831499099731445
28S,28S,210	39	1465-1489	4338-4354	expansion	core	1486	4350	6.800237655639648	1486	4350	6.800237655639648
28S,28S,211	15	743-764	769-795	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,214	32	935-968	2238-2260	expansion	expansion	966	2253	7.83812141418457	964	2256	10.29371452331543
28S,28S,215	14	74-113	141-168	core	expansion	76	160	13.251440048217773	NA	NA	NA
28S,28S,224	32	74-97	271-298	core	core	88	293	8.900288581848145	91	293	11.532203674316406
28S,28S,225	10	1700-1723	4511-4532	expansion	core	1722	4519	76.51773834228516	1721	4530	93.716064453125
28S,28S,233	15	4868-4887	4935-4951	expansion	core	4887	4936	8.360042572021484	4882	4949	14.262406349182129
28S,28S,236	15	2089-2109	2126-2165	expansion	expansion	2108	2126	8.907819747924805	NA	NA	NA
28S,28S,238	10	2806-2826	4533-4583	core	core	2816	4554	31.57676124572754	NA	NA	NA
28S,28S,247	20	17-48	272-298	core	core	48	291	9.489900588989258	44	293	15.009078979492188
28S,28S,248	22	408-437	2352-2367	core	core	421	2361	15.209451675415039	434	2361	19.53898048400879
28S,28S,249	25	1700-1722	4073-4115	expansion	expansion	1722	4078	111.05091094970703	NA	NA	NA
28S,28S,258	14	2070-2098	2244-2260	expansion	expansion	2092	2258	3.1588926315307617	2092	2258	3.1588926315307617
28S,28S,261	10	764-802	841-858	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,264	18	2460-2473	4074-4089	expansion	expansion	2469	4085	12.061994552612305	2469	4085	12.061994552612305
28S,28S,266	19	3170-3200	4735-4776	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,267	14	918-968	1680-1709	expansion	expansion	959	1698	25.95635223388672	NA	NA	NA
28S,28S,276	17	1711-1722	4178-4196	expansion	core	1722	4195	59.26915740966797	1720	4190	77.18762969970703
28S,28S,277	14	2139-2152	2156-2185	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,288	12	16-47	73-98	core	core	39	95	4.304173946380615	44	93	14.415510177612305
28S,28S,293	10	1223-1272	1681-1714	expansion	expansion	1267	1701	24.99081039428711	NA	NA	NA
28S,28S,294	13	1040-1067	1680-1723	expansion	expansion	1053	1701	64.93592071533203	NA	NA	NA
28S,28S,295	13	1047-1070	3270-3312	expansion	expansion	NA	NA	NA	NA	NA	NA
28S,28S,303	10	1310-1333	1621-1656	core	core	1319	1655	14.6857271194458	NA	NA	NA
